Wk,Home,Away
1,Fulham,Arsenal
1,Crystal Palace,Southampton
1,Liverpool,Leeds United
1,West Ham,Newcastle Utd
1,West Brom,Leicester City
1,Tottenham,Everton
1,Sheffield Utd,Wolves
1,Brighton,Chelsea
2,Everton,West Brom
2,Leeds United,Fulham
2,Manchester Utd,Crystal Palace
2,Arsenal,West Ham
2,Southampton,Tottenham
2,Newcastle Utd,Brighton
2,Chelsea,Liverpool
2,Leicester City,Burnley
2,Aston Villa,Sheffield Utd
2,Wolves,Manchester City
3,Brighton,Manchester Utd
3,Crystal Palace,Everton
3,West Brom,Chelsea
3,Burnley,Southampton
3,Sheffield Utd,Leeds United
3,Tottenham,Newcastle Utd
3,Manchester City,Leicester City
3,West Ham,Wolves
3,Fulham,Aston Villa
3,Liverpool,Arsenal
4,Chelsea,Crystal Palace
4,Everton,Brighton
4,Leeds United,Manchester City
4,Newcastle Utd,Burnley
4,Leicester City,West Ham
4,Southampton,West Brom
4,Arsenal,Sheffield Utd
4,Wolves,Fulham
4,Manchester Utd,Tottenham
4,Aston Villa,Liverpool
5,Everton,Liverpool
5,Chelsea,Southampton
5,Manchester City,Arsenal
5,Newcastle Utd,Manchester Utd
5,Sheffield Utd,Fulham
5,Crystal Palace,Brighton
5,Tottenham,West Ham
5,Leicester City,Aston Villa
5,West Brom,Burnley
5,Leeds United,Wolves
6,Aston Villa,Leeds United
6,West Ham,Manchester City
6,Fulham,Crystal Palace
6,Manchester Utd,Chelsea
6,Liverpool,Sheffield Utd
6,Southampton,Everton
6,Wolves,Newcastle Utd
6,Arsenal,Leicester City
6,Brighton,West Brom
6,Burnley,Tottenham
7,Wolves,Crystal Palace
7,Sheffield Utd,Manchester City
7,Burnley,Chelsea
7,Liverpool,West Ham
7,Aston Villa,Southampton
7,Newcastle Utd,Everton
7,Manchester Utd,Arsenal
7,Tottenham,Brighton
7,Fulham,West Brom
7,Leeds United,Leicester City
8,Brighton,Burnley
8,Southampton,Newcastle Utd
8,Everton,Manchester Utd
8,Crystal Palace,Leeds United
8,Chelsea,Sheffield Utd
8,West Ham,Fulham
8,West Brom,Tottenham
8,Leicester City,Wolves
8,Manchester City,Liverpool
8,Arsenal,Aston Villa
9,Newcastle Utd,Chelsea
9,Aston Villa,Brighton
9,Tottenham,Manchester City
9,Manchester Utd,West Brom
9,Fulham,Everton
9,Sheffield Utd,West Ham
9,Leeds United,Arsenal
9,Liverpool,Leicester City
9,Burnley,Crystal Palace
9,Wolves,Southampton
10,Crystal Palace,Newcastle Utd
10,Brighton,Liverpool
10,Manchester City,Burnley
10,Everton,Leeds United
10,West Brom,Sheffield Utd
10,Southampton,Manchester Utd
10,Chelsea,Tottenham
10,Arsenal,Wolves
10,Leicester City,Fulham
10,West Ham,Aston Villa
11,Burnley,Everton
11,Manchester City,Fulham
11,West Ham,Manchester Utd
11,Chelsea,Leeds United
11,West Brom,Crystal Palace
11,Sheffield Utd,Leicester City
11,Tottenham,Arsenal
11,Liverpool,Wolves
11,Brighton,Southampton
12,Leeds United,West Ham
12,Wolves,Aston Villa
12,Newcastle Utd,West Brom
12,Manchester Utd,Manchester City
12,Everton,Chelsea
12,Southampton,Sheffield Utd
12,Crystal Palace,Tottenham
12,Fulham,Liverpool
12,Arsenal,Burnley
12,Leicester City,Brighton
13,Wolves,Chelsea
13,Manchester City,West Brom
13,Leeds United,Newcastle Utd
13,Leicester City,Everton
13,Arsenal,Southampton
13,Fulham,Brighton
13,Liverpool,Tottenham
13,West Ham,Crystal Palace
13,Aston Villa,Burnley
13,Sheffield Utd,Manchester Utd
14,Crystal Palace,Liverpool
14,Southampton,Manchester City
14,Everton,Arsenal
14,Newcastle Utd,Fulham
14,Brighton,Sheffield Utd
14,Tottenham,Leicester City
14,Manchester Utd,Leeds United
14,West Brom,Aston Villa
14,Burnley,Wolves
14,Chelsea,West Ham
15,Leicester City,Manchester Utd
15,Aston Villa,Crystal Palace
15,Fulham,Southampton
15,Arsenal,Chelsea
15,Sheffield Utd,Everton
15,Manchester City,Newcastle Utd
15,Leeds United,Burnley
15,West Ham,Brighton
15,Liverpool,West Brom
15,Wolves,Tottenham
16,Crystal Palace,Leicester City
16,Chelsea,Aston Villa
16,Burnley,Sheffield Utd
16,West Brom,Leeds United
16,Brighton,Arsenal
16,Southampton,West Ham
16,Manchester Utd,Wolves
16,Newcastle Utd,Liverpool
17,Everton,West Ham
17,Manchester Utd,Aston Villa
17,Tottenham,Leeds United
17,Crystal Palace,Sheffield Utd
17,Brighton,Wolves
17,West Brom,Arsenal
17,Newcastle Utd,Leicester City
17,Chelsea,Manchester City
17,Southampton,Liverpool
18,Sheffield Utd,Newcastle Utd
1,Burnley,Manchester Utd
18,Wolves,Everton
18,Manchester City,Brighton
16,Tottenham,Fulham
18,Arsenal,Crystal Palace
19,Wolves,West Brom
19,West Ham,Burnley
19,Leeds United,Brighton
19,Fulham,Chelsea
19,Leicester City,Southampton
19,Sheffield Utd,Tottenham
19,Liverpool,Manchester Utd
19,Manchester City,Crystal Palace
19,Arsenal,Newcastle Utd
18,West Ham,West Brom
18,Leicester City,Chelsea
1,Manchester City,Aston Villa
18,Fulham,Manchester Utd
18,Liverpool,Burnley
11,Aston Villa,Newcastle Utd
20,Newcastle Utd,Leeds United
20,Crystal Palace,West Ham
20,Southampton,Arsenal
20,West Brom,Manchester City
20,Burnley,Aston Villa
20,Chelsea,Wolves
20,Brighton,Fulham
20,Everton,Leicester City
20,Manchester Utd,Sheffield Utd
20,Tottenham,Liverpool
21,Everton,Newcastle Utd
21,West Brom,Fulham
21,Manchester City,Sheffield Utd
21,Crystal Palace,Wolves
21,Arsenal,Manchester Utd
21,Southampton,Aston Villa
21,Chelsea,Burnley
21,Leicester City,Leeds United
21,West Ham,Liverpool
21,Brighton,Tottenham
22,Wolves,Arsenal
22,Sheffield Utd,West Brom
22,Newcastle Utd,Crystal Palace
22,Manchester Utd,Southampton
22,Fulham,Leicester City
22,Burnley,Manchester City
22,Leeds United,Everton
22,Liverpool,Brighton
22,Aston Villa,West Ham
22,Tottenham,Chelsea
23,Aston Villa,Arsenal
23,Newcastle Utd,Southampton
23,Burnley,Brighton
23,Fulham,West Ham
23,Manchester Utd,Everton
23,Tottenham,West Brom
23,Wolves,Leicester City
23,Liverpool,Manchester City
23,Sheffield Utd,Chelsea
23,Leeds United,Crystal Palace
24,Leicester City,Liverpool
24,Crystal Palace,Burnley
24,Manchester City,Tottenham
24,Brighton,Aston Villa
24,Southampton,Wolves
24,West Brom,Manchester Utd
24,Arsenal,Leeds United
24,Everton,Fulham
24,West Ham,Sheffield Utd
24,Chelsea,Newcastle Utd
17,Burnley,Fulham
16,Everton,Manchester City
25,Wolves,Leeds United
25,Southampton,Chelsea
25,Burnley,West Brom
25,Liverpool,Everton
25,Fulham,Sheffield Utd
25,West Ham,Tottenham
25,Aston Villa,Leicester City
25,Arsenal,Manchester City
25,Manchester Utd,Newcastle Utd
25,Brighton,Crystal Palace
18,Leeds United,Southampton
26,Manchester City,West Ham
26,West Brom,Brighton
26,Leeds United,Aston Villa
